DATE,IND,CIVIL
1996-01-01,605519,83809
1996-02-01,566323,70427
1996-03-01,477514,62652
1996-04-01,337797,47050
1996-05-01,184522,30709
1996-06-01,116416,28534
1996-07-01,109474,31117
1996-08-01,94736,28188
1996-09-01,105143,36977
1996-10-01,237249,61954
1996-11-01,434413,79268
1996-12-01,651230,100546
1997-01-01,775522,104709
1997-02-01,640683,87149
1997-03-01,532435,75136
1997-04-01,357484,62380
1997-05-01,248334,59376
1997-06-01,154617,57654
1997-07-01,138050,66246
1997-08-01,119715,62134
1997-09-01,164985,84552
1997-10-01,332390,114588
1997-11-01,510747,125912
1997-12-01,752219,146195
1998-01-01,807493,143631
1998-02-01,663455,118575
1998-03-01,571545,124297
1998-04-01,331872,88168
1998-05-01,215061,86596
1998-06-01,171457,84263
1998-07-01,148579,82096
1998-08-01,143551,80149
1998-09-01,148313,99828
1998-10-01,267633,110683
1998-11-01,589639,147062
1998-12-01,845802,163127
1999-01-01,984487,174067
1999-02-01,847927,139679
1999-03-01,934345,149395
1999-04-01,462060,114053
1999-05-01,290920,114552
1999-06-01,189179,108706
1999-07-01,163166,118905
1999-08-01,161284,117823
1999-09-01,183081,127849
1999-10-01,402061,170198
1999-11-01,657325,196487
1999-12-01,1027319,251488
2000-01-01,1148336,248266
2000-02-01,1082801,219592
2000-03-01,847669,213263
2000-04-01,548101,172968
2000-05-01,350196,164437
2000-06-01,206764,156473
2000-07-01,181402,163679
2000-08-01,179319,168129
2000-09-01,239174,179575
2000-10-01,416665,219854
2000-11-01,763938,264161
2000-12-01,1099623,293726
2001-01-01,1368105,293287
2001-02-01,1108879,251299
2001-03-01,950504,257269
2001-04-01,552465,192383
2001-05-01,318955,182192
2001-06-01,217625,181047
2001-07-01,212416,182720
2001-08-01,193381,175939
2001-09-01,202370,20050
2001-10-01,383573,224570
2001-11-01,795997,281945
2001-12-01,1246694,325748
2002-01-01,1291199,315492
2002-02-01,1066290,248165
2002-03-01,890162,268288
2002-04-01,551890,224015
2002-05-01,386105,223769
2002-06-01,251404,199340
2002-07-01,235945,215771
2002-08-01,237199,215254
2002-09-01,264393,219173
2002-10-01,559568,297623
2002-11-01,1066576,327793
2002-12-01,1293196,345488
2003-01-01,1560357,367416
2003-02-01,1176215,280765
2003-03-01,1054488,308751
2003-04-01,643963,242834
2003-05-01,396910,224652
2003-06-01,27845,221918
2003-07-01,269741,228552
2003-08-01,253603,222390
2003-09-01,287316,227369
2003-10-01,535197,304255
2003-11-01,829249,301014
2003-12-01,1369037,394147
2004-01-01,1553307,363492
2004-02-01,1300586,326216
2004-03-01,1122849,332346
2004-04-01,670097,259855
2004-05-01,452718,249423
2004-06-01,300907,235960
2004-07-01,297785,248155
2004-08-01,263000,232494
2004-09-01,285974,250028
2004-10-01,520696,311468
2004-11-01,853352,333831
2004-12-01,1337304,401977
2005-01-01,1681918,125039
2005-02-01,1507942,337263
2005-03-01,1299957,365855
2005-04-01,720771,269607
2005-05-01,449185,263080
2005-06-01,314339,247276
2005-07-01,299187,255224
2005-08-01,279058,250390
2005-09-01,295571,257684
2005-10-01,353890,333379
2005-11-01,956702,363702
2005-12-01,1814903,503609
2006-01-01,1663668,403770
2006-02-01,1465276,369548
2006-03-01,1252496,380259
2006-04-01,827127,307253
2006-05-01,470598,276380
2006-06-01,338470,279418
2006-07-01,334729,287040
2006-08-01,309326,269467
2006-09-01,314777,316123
2006-10-01,412591,315971
2006-11-01,940748,419670
2006-12-01,1533772,468451
2007-01-01,1645363,461726
2007-02-01,134625,350887
2007-03-01,1242387,419078
2007-04-01,931041,345166
2007-05-01,483763,308941
2007-06-01,340698,302641
2007-07-01,325438,316323
2007-08-01,320590,309352
2007-09-01,318500,319912
2007-10-01,549074,399752
2007-11-01,1067962,459067
2007-12-01,1536487,489887
2008-01-01,1784041,528585
2008-02-01,1646181,440978
2008-03-01,1183208,417593
2008-04-01,728851,359253
2008-05-01,479449,347757
2008-06-01,359609,363768
2008-07-01,331818,391362
2008-08-01,301668,392751
2008-09-01,312720,417851
2008-10-01,476836,502258
2008-11-01,1012111,493016
2008-12-01,1553382,491360
2009-01-01,1828194,475294
2009-02-01,1342361,410096
2009-03-01,1219251,463253
2009-04-01,772023,382299
2009-05-01,466732,339666
2009-06-01,348457,361942
2009-07-01,335077,399983
2009-08-01,312854,382384
2009-09-01,320013,434250
2009-10-01,490204,467940
2009-11-01,1051972,559642
2009-12-01,1691507,654187
2010-01-01,2007813,666375
2010-02-01,1485036,521594
2010-03-01,1351544,604348
2010-04-01,961861,510337
2010-05-01,542735,446416
2010-06-01,370060,448796
2010-07-01,334545,467388
2010-08-01,318729,437247
2010-09-01,327929,459544
2010-10-01,553872,564906
2010-11-01,1059788,644250
2010-12-01,1701331,735172
2011-01-01,2162477,801968
2011-02-01,1505957,544966
2011-03-01,1362580,669566
2011-04-01,876144,558755
2011-05-01,535900,524106
2011-06-01,386400,527919
2011-07-01,367658,535978
2011-08-01,343770,501956
2011-09-01,335737,520233
2011-10-01,540842,667297
2011-11-01,843047,995439
2011-12-01,1660433,82353
2012-01-01,1914601,752384
2012-02-01,1786762,730580
2012-03-01,1372721,699708
2012-04-01,845919,575806
2012-05-01,464615,569792
2012-06-01,364850,562731
2012-07-01,374518,591863
2012-08-01,329101,593523
2012-09-01,336686,632894
2012-10-01,523083,731545
2012-11-01,1100824,834708
2012-12-01,1914895,953413
2013-01-01,2011896,912518
2013-02-01,1587145,784626
2013-03-01,1240854,772515
2013-04-01,931144,714999
2013-05-01,544889,619777
2013-06-01,374368,606319
2013-07-01,358204,641856
2013-08-01,342725,586780
2013-09-01,318873,598554
2013-10-01,492833,939951
2013-11-01,1059637,840299
2013-12-01,1638151,879650
2014-01-01,1741249,822219
2014-02-01,1443602,693959
2014-03-01,1157243,734898
2014-04-01,701710,610440
2014-05-01,489021,603318
2014-06-01,364068,589802
2014-07-01,351317,640610
2014-08-01,330374,574391
2014-09-01,330810,565183
2014-10-01,492443,675401
2014-11-01,924236,691813
2014-12-01,1794870,846801
2015-01-01,1763930,700563
2015-02-01,1484195,572869
2015-03-01,1269808,630065
2015-04-01,780107,536267
2015-05-01,479793,505890
2015-06-01,373618,514007
2015-07-01,355548,531214
2015-08-01,327840,488926
2015-09-01,328598,502257
2015-10-01,477063,582921
2015-11-01,890663,633643
2015-12-01,1491034,708636
2016-01-01,1909356,737007
2016-02-01,1615218,576168
2016-03-01,1244424,605263
2016-04-01,710486,508759
2016-05-01,485529,493899
2016-06-01,385260,497473
2016-07-01,374707,500368
2016-08-01,338814,465488
2016-09-01,331396,473692
2016-10-01,489833,591924
2016-11-01,1052094,684233
2016-12-01,1586809,735859
2017-01-01,1859724,715626
2017-02-01,1642258,633160
2017-03-01,1300191,659824
2017-04-01,759085,549691
2017-05-01,481843,512652
2017-06-01,3924041,492596
2017-07-01,373759,490124
2017-08-01,354898,484551
2017-09-01,355713,544947
2017-10-01,506084,563796
2017-11-01,1164073,746759
2017-12-01,1967384,838623
2018-01-01,2187356,842024
2018-02-01,1877259,661919
2018-03-01,1294043,647226
2018-04-01,810979,580667
2018-05-01,557259,584369
2018-06-01,421366,570856
2018-07-01,397534,589012
2018-08-01,359429,569973
2018-09-01,364344,581262
2018-10-01,647374,715571
2018-11-01,1089734,741783
2018-12-01,1865694,854757
2019-01-01,2023662,772539
2019-02-01,1660132,600861
2019-03-01,1279302,679395
2019-04-01,920035,627743
2019-05-01,548871,581306
2019-06-01,149341,565142
2019-07-01,403664,553295
2019-08-01,374639,514526
2019-09-01,366621,524795
2019-10-01,520739,628223
2019-11-01,1055013,714870
2019-12-01,1732147,755546
2020-01-01,1819123,687084
2020-02-01,1604680,633396
2020-03-01,1243141,616998
2020-04-01,918206,534319
2020-05-01,539517,439949
2020-06-01,406010,446235
2020-07-01,399937,485652
2020-08-01,398661,457970
2020-09-01,380235,525619
2020-10-01,616682,600890
2020-11-01,1093747,665901
2020-12-01,1921404,811928
